country,year,value,region,indicator
MNG,2006,16,Western Pacific,MDG_0000000017
POL,2006,2.1,Europe,MDG_0000000017
IRN,2022,1,Eastern Mediterranean,MDG_0000000017
PRI,2005,0.53,Americas,MDG_0000000017
WB_HI,2005,4.2,NA,MDG_0000000017
GMB,2000,26,Africa,MDG_0000000017
DNK,2004,0.74,Europe,MDG_0000000017
USA,2019,0.17,Americas,MDG_0000000017
GEO,2022,2,Europe,MDG_0000000017
KNA,2008,2.1,Americas,MDG_0000000017
LBR,2008,45,Africa,MDG_0000000017
JAM,2022,0.27,Americas,MDG_0000000017
DZA,2020,9.2,Africa,MDG_0000000017
VNM,2020,8.9,Western Pacific,MDG_0000000017
BLZ,2023,1.5,Americas,MDG_0000000017
AFG,2014,43,Eastern Mediterranean,MDG_0000000017
WPR,2001,11,NA,MDG_0000000017
AUS,2022,0.13,Western Pacific,MDG_0000000017
ITA,2004,0.7,Europe,MDG_0000000017
HKG,2022,1.7,NA,MDG_0000000017
BEN,2012,10,Africa,MDG_0000000017
DNK,2018,0.17,Europe,MDG_0000000017
LBN,2008,1,Eastern Mediterranean,MDG_0000000017
KAZ,2021,1.9,Europe,MDG_0000000017
YEM,2004,17,Eastern Mediterranean,MDG_0000000017
AZE,2014,4.5,Europe,MDG_0000000017
SWZ,2012,54,Africa,MDG_0000000017
KIR,2014,39,Western Pacific,MDG_0000000017
PRY,2014,3.7,Americas,MDG_0000000017
FRA,2009,1.1,Europe,MDG_0000000017
GRD,2014,1.7,Americas,MDG_0000000017
NZL,2020,0.26,Western Pacific,MDG_0000000017
COM,2023,9.9,Africa,MDG_0000000017
WSM,2005,1.3,Western Pacific,MDG_0000000017
HTI,2016,9.8,Americas,MDG_0000000017
VUT,2013,7.7,Western Pacific,MDG_0000000017
VUT,2007,11,Western Pacific,MDG_0000000017
NAM,2002,69,Africa,MDG_0000000017
CRI,2017,0.76,Americas,MDG_0000000017
LUX,2013,0.19,Europe,MDG_0000000017
MDV,2005,1.6,South-East Asia,MDG_0000000017
WB_LMI,2020,26,NA,MDG_0000000017
VCT,2004,3.1,Americas,MDG_0000000017
ALB,2004,0.84,Europe,MDG_0000000017
FIN,2015,0.61,Europe,MDG_0000000017
FSM,2017,17,Western Pacific,MDG_0000000017
RWA,2008,7.3,Africa,MDG_0000000017
CPV,2023,4.6,Africa,MDG_0000000017
ERI,2013,25,Africa,MDG_0000000017
NIU,2022,20,Western Pacific,MDG_0000000017
WSM,2009,0.82,Western Pacific,MDG_0000000017
BHS,2022,0.58,Americas,MDG_0000000017
COG,2006,55,Africa,MDG_0000000017
ROU,2014,5.6,Europe,MDG_0000000017
EGY,2009,0.87,Eastern Mediterranean,MDG_0000000017
USA,2020,0.19,Americas,MDG_0000000017
SRB,2014,1.3,Europe,MDG_0000000017
BHR,2019,0.51,Eastern Mediterranean,MDG_0000000017
COL,2019,2.4,Americas,MDG_0000000017
AMR,2016,1.9,NA,MDG_0000000017
ARE,2017,0.67,Eastern Mediterranean,MDG_0000000017
IRN,2007,0.89,Eastern Mediterranean,MDG_0000000017
SWE,2000,0.8,Europe,MDG_0000000017
LTU,2011,7,Europe,MDG_0000000017
TJK,2012,10,Europe,MDG_0000000017
FJI,2007,4.1,Western Pacific,MDG_0000000017
MYS,2011,5.7,Western Pacific,MDG_0000000017
PRI,2011,0.33,Americas,MDG_0000000017
BLZ,2022,1.5,Americas,MDG_0000000017
CUB,2009,0.34,Americas,MDG_0000000017
IRL,2017,0.33,Europe,MDG_0000000017
TUN,2004,1.7,Eastern Mediterranean,MDG_0000000017
CUB,2023,0.33,Americas,MDG_0000000017
HTI,2019,8.9,Americas,MDG_0000000017
THA,2000,20,South-East Asia,MDG_0000000017
GEO,2019,3.8,Europe,MDG_0000000017
BIH,2010,5.1,Europe,MDG_0000000017
DZA,2019,6.6,Africa,MDG_0000000017
CUB,2020,0.32,Americas,MDG_0000000017
ZMB,2021,20,Africa,MDG_0000000017
MUS,2002,0.77,Africa,MDG_0000000017
ESP,2022,0.35,Europe,MDG_0000000017
SWZ,2003,78,Africa,MDG_0000000017
MLT,2007,1.6,Europe,MDG_0000000017
NPL,2006,96,South-East Asia,MDG_0000000017
URY,2003,2.3,Americas,MDG_0000000017
